AccommodationID,AccommodationName,OwnerIDCardNumber,CityDistrictID,StreetAddress,AccommodationTypeID,NumberOfRooms,Capacity,PricePerNight
ACM000000496,,908013598212,616,98 Grayhawk Avenue,FS,4,11,4382095.0
ACM000000497,"Workhorse Group, Inc.",737213012051,198,8 Mesta Court,RS,3,5,107237.0
ACM000000500,,254946616186,146,0 Pearson Junction,BG,2,17,1412616.0
ACM000000501,Xcerra Corporation,36759137657,110,420 Swallow Drive,FS,2,13,2447837.0
ACM000000502,Torchmark Corporation,284896899268,74,9 Declaration Road,VL,6,13,2920251.0
ACM000000505,,179093574641,469,999 Debs Place,DP,4,7,385403.0
ACM000000506,,428670375530,446,096 Manley Road,BG,3,7,1961202.0
ACM000000507,,353103300350,61,46 Eggendart Lane,CD,1,14,3173385.0
ACM000000510,ClearBridge Energy MLP Total Return Fund Inc.,280627824590,676,79483 Butterfield Drive,PH,1,16,4234382.0
ACM000000511,,50729423177,668,10 Oneill Crossing,PH,1,13,3996503.0
ACM000000513,,909945523385,342,9977 Orin Point,PH,1,18,3554239.0
ACM000000514,PPlus Trust,272437344922,144,668 8th Trail,FS,2,3,3051023.0
ACM000000515,"Plug Power, Inc.",435349209500,167,43 2nd Street,HS,3,12,1876853.0
ACM000000518,,141046291814,365,5490 Magdeline Trail,FS,3,13,2105465.0
ACM000000520,,85846792447,650,8 Summit Pass,RS,4,16,2697578.0
ACM000000521,,716477944082,478,2 Kensington Terrace,FS,3,14,2702612.0
ACM000000522,Quinpario Acquisition Corp. 2,936589767519,62,4888 Huxley Way,VL,2,3,3642218.0
ACM000000523,Federal Agricultural Mortgage Corporation,837730544428,643,05235 Warner Hill,HS,4,14,579061.0
ACM000000525,Graphic Packaging Holding Company,605169656597,109,235 La Follette Center,ST,1,15,2245093.0
ACM000000526,,602538118295,469,54 Warrior Drive,RS,2,14,171981.0
ACM000000527,TriMas Corporation,602112092359,385,3 Doe Crossing Point,HS,6,18,2443327.0
ACM000000529,Nuveen S&P 500 Buy-Write Income Fund,743082882401,9,20 Maryland Court,RS,6,17,4681401.0
ACM000000530,,32450383179,165,7 Hoepker Parkway,HS,6,4,1256318.0
ACM000000533,,840502109758,12,85690 Welch Hill,CD,1,16,2556388.0
ACM000000534,"United Dominion Realty Trust, Inc.",877207064106,292,48 Morningstar Place,CD,1,13,948716.0
ACM000000535,UGI Corporation,179093574641,352,740 High Crossing Hill,ST,1,13,2918815.0
ACM000000539,,9715006981,72,29 Sommers Junction,CD,1,16,1012153.0
ACM000000541,"Sequential Brands Group, Inc.",399600718292,442,098 Manufacturers Parkway,CD,1,14,1337397.0
ACM000000542,,555316270238,56,45 Dexter Terrace,DP,3,10,4766883.0
ACM000000543,Liberty Global plc,117139865085,381,6389 Park Meadow Plaza,PH,1,3,4302448.0
ACM000000545,Centrais Electricas Brasileiras S.A.- Eletrobras,856537899380,554,1674 Erie Crossing,PH,1,9,4941544.0
ACM000000546,,766456978404,479,4270 Nova Point,ST,1,15,2102964.0
ACM000000547,,721955733456,560,572 Maryland Avenue,HS,6,6,1366193.0
ACM000000550,Aspen Insurance Holdings Limited,754793154220,542,28 Anniversary Trail,TH,2,17,3429636.0
ACM000000552,,30679265235,522,2711 Dexter Alley,PH,1,4,2037635.0
ACM000000555,,10784341907,701,08625 Nancy Hill,DP,6,5,3890535.0
ACM000000557,,551961080503,668,21475 Basil Way,VL,6,18,2944985.0
ACM000000564,,903945247554,12,1275 Toban Drive,TH,4,10,4054068.0
ACM000000567,,393390841129,262,043 Dakota Hill,CD,1,8,3330434.0
ACM000000568,,42200371976,166,473 Bluejay Plaza,ST,1,12,2790919.0
ACM000000569,,710210038990,104,31 Logan Place,HS,3,16,4937125.0
ACM000000571,Comcast Corporation,820975475015,215,53780 Lawn Junction,VL,5,18,3517150.0
ACM000000573,,962642375431,17,9116 Troy Parkway,VL,4,3,3272796.0
ACM000000574,"Coherus BioSciences, Inc.",688236790238,61,37 6th Parkway,CD,1,12,3920241.0
ACM000000575,,659817819188,133,7 Longview Circle,PH,1,17,2708927.0
ACM000000578,"Reven Housing REIT, Inc.",868041976567,496,7 North Terrace,PH,1,18,2906784.0
ACM000000580,Ameris Bancorp,369903154964,407,944 Lotheville Junction,VL,2,12,1733425.0
ACM000000581,IAC/InterActiveCorp,91995516417,548,7201 School Park,DP,2,7,2756163.0
ACM000000582,,663232657897,14,1909 Lake View Trail,HS,5,11,2761553.0
ACM000000583,,515120791144,101,0983 South Point,VL,2,2,2491875.0
ACM000000585,,839778930886,466,8940 Amoth Avenue,CD,1,15,1630550.0
ACM000000588,,918876504655,612,53 Killdeer Road,DP,2,5,3307367.0
ACM000000589,,827918987177,528,554 Corry Pass,TH,5,14,3654731.0
ACM000000590,,602538118295,157,1 Tomscot Alley,ST,1,6,1906346.0
ACM000000591,,40672688113,143,531 Coolidge Parkway,PH,1,4,3637009.0
ACM000000592,Zymeworks Inc.,690339623084,327,67651 Elka Avenue,PH,1,3,3831359.0
ACM000000593,,431735303098,528,863 Barby Terrace,FS,4,5,4646915.0
ACM000000594,First Trust Large Cap Core AlphaDEX Fund,299486406733,113,85 Emmet Road,PH,1,7,1595718.0
ACM000000595,,640357595102,328,5 Crest Line Park,PH,1,7,1762576.0
ACM000000596,,694866504716,544,53 Sutteridge Circle,CD,1,9,866059.0
ACM000000597,"Spark Energy, Inc.",621816645014,180,4 Aberg Court,DP,5,16,3678826.0
ACM000000599,,330681279244,143,1 Cottonwood Drive,FS,4,12,789585.0
ACM000000600,"Moxian, Inc.",395756151852,529,27916 Golden Leaf Center,ST,1,8,1769800.0
ACM000000602,"Kelly Services, Inc.",946162810047,682,73202 Merry Place,HS,3,16,3160790.0
ACM000000604,,216029233692,165,67220 Oak Center,DP,2,11,816890.0
ACM000000607,,783205912393,172,55 8th Center,CD,1,15,1536948.0
ACM000000608,"Frankly, Inc.",108627902563,415,52 Golf Course Terrace,ST,1,5,3422842.0
ACM000000609,"NextEra Energy, Inc.",201863600586,39,073 Derek Point,TH,6,17,4979006.0
ACM000000610,,515843388969,358,2033 Rutledge Drive,PH,1,5,1389744.0
ACM000000611,,310289615665,224,99 East Hill,FS,4,2,2151552.0
ACM000000612,,617216598468,573,03 Hermina Trail,RS,4,4,1321704.0
ACM000000613,,228672438145,376,08854 Schiller Court,VL,5,13,3818526.0
ACM000000614,"Exponent, Inc.",95108844253,306,644 Prairie Rose Street,TH,2,13,962354.0
ACM000000615,,24100374977,374,679 Del Sol Point,FS,6,4,4834724.0
ACM000000616,,665908234930,213,4985 Clarendon Street,PH,1,13,2632369.0
ACM000000617,,256692810144,508,194 Thierer Plaza,CD,1,14,511994.0
ACM000000618,"AAON, Inc.",201077232937,160,93 Londonderry Road,ST,1,17,624779.0
ACM000000619,Hardinge Inc.,877207064106,317,61 Buell Street,ST,1,14,3014627.0
ACM000000620,"Old Dominion Freight Line, Inc.",100070578554,208,852 Roxbury Road,PH,1,10,2099994.0
ACM000000622,Biglari Holdings Inc.,80880767806,182,07784 Dorton Place,TH,5,7,4194559.0
ACM000000623,,754070797029,206,3 Russell Court,BG,3,4,755383.0
ACM000000625,Western Asset/Claymore U.S. Treasury Inflation Prot Secs Fd,921022714217,74,50 Burning Wood Place,VL,6,6,2489287.0
ACM000000626,,206675364016,88,8895 Valley Edge Way,FS,5,18,4335020.0
ACM000000628,,684509656708,432,8 Buell Court,CD,1,17,1331529.0
ACM000000629,,121671582222,661,38912 Twin Pines Place,PH,1,19,4534461.0
ACM000000631,Barington/Hilco Acquisition Corp.,710862357397,355,844 Hoffman Plaza,FS,4,20,3033175.0
ACM000000632,,280705584909,393,8367 Hallows Terrace,PH,1,4,2886665.0
ACM000000633,Consolidated Edison Inc,941497379789,251,11 Division Alley,TH,6,2,847360.0
ACM000000634,"Unity Bancorp, Inc.",141046291814,524,537 Hollow Ridge Pass,BG,2,2,482083.0
ACM000000635,,729449815609,52,241 Grover Circle,BG,6,17,2634885.0
ACM000000638,,49459026465,556,6313 Hooker Parkway,RS,6,15,4426245.0
ACM000000640,,316051168560,384,89 Atwood Plaza,TH,2,15,3682370.0
ACM000000641,"Energy Focus, Inc.",882975186975,613,051 Parkside Plaza,VL,4,6,829216.0
ACM000000642,"Allied Healthcare Products, Inc.",431735303098,503,2855 Barnett Terrace,BG,4,11,941685.0
ACM000000643,Teekay Offshore Partners L.P.,866806093967,617,0 Almo Junction,DP,3,5,4630893.0
ACM000000644,"LifePoint Health, Inc.",766456978404,469,213 Red Cloud Drive,HS,6,13,2785410.0
ACM000000645,Jabil Inc.,31557385468,680,0219 Mccormick Junction,ST,1,18,2190575.0
ACM000000648,,101918855534,663,14473 Redwing Drive,TH,4,11,4336355.0
ACM000000649,Teekay Offshore Partners L.P.,152352758517,167,376 Morningstar Crossing,ST,1,3,274110.0
ACM000000650,First Trust Indxx Global Natural Resources Income ETF,395756151852,279,5 Maple Wood Circle,VL,4,6,3270087.0
ACM000000652,,37098606210,296,479 Charing Cross Avenue,DP,4,10,4575906.0
ACM000000654,,816606353511,472,87503 Oak Valley Court,TH,4,3,2042394.0
ACM000000657,,387104750590,390,894 Mallard Pass,BG,5,14,2845482.0
ACM000000659,MicroStrategy Incorporated,852018822289,443,09 Gale Court,FS,3,19,4491417.0
ACM000000662,,434916579525,691,221 Stephen Center,DP,6,7,3353335.0
ACM000000665,Cone Midstream Partners LP,254234622092,479,46302 Artisan Terrace,TH,5,8,1472453.0
ACM000000669,,747523786389,25,194 Leroy Plaza,BG,5,20,2043320.0
ACM000000670,,479280529685,88,51 Division Way,VL,4,7,4714898.0
ACM000000672,,817844161750,384,95628 Messerschmidt Circle,TH,5,18,3791317.0
ACM000000673,,180486863971,232,23057 Havey Avenue,PH,1,15,4683060.0
ACM000000674,,92815842555,294,62639 Pierstorff Drive,DP,2,4,2713631.0
ACM000000675,Ameris Bancorp,831221884589,172,88 Meadow Vale Hill,CD,1,4,4688688.0
ACM000000676,Easterly Acquisition Corp.,180126128092,435,06858 Kingsford Street,ST,1,13,738960.0
ACM000000678,Center Coast MLP & Infrastructure Fund,161576123044,658,350 Jana Avenue,FS,6,6,1256910.0
ACM000000679,Navient Corporation,387104750590,295,558 Meadow Vale Hill,CD,1,2,867009.0
ACM000000680,"Upland Software, Inc.",844337223887,165,884 Almo Hill,TH,4,18,2786900.0
ACM000000682,"New America High Income Fund, Inc. (The)",744434723871,469,4 Fairview Place,PH,1,5,1333216.0
ACM000000683,"SenesTech, Inc.",766059878520,618,071 Stone Corner Trail,HS,2,9,4227505.0
ACM000000684,"Global Water Resources, Inc.",996224821500,504,91 Kingsford Hill,RS,5,14,363066.0
ACM000000686,PowerShares S&P SmallCap Industrials Portfolio,792850816013,483,58 Maywood Avenue,BG,5,11,2291995.0
ACM000000687,"Pathfinder Bancorp, Inc.",823284309503,634,3 Gina Hill,BG,3,18,1656789.0
ACM000000689,,558449256617,218,6012 Menomonie Place,CD,1,11,483326.0
ACM000000690,,413559687781,558,0773 8th Alley,ST,1,14,664476.0
ACM000000691,,627381358441,679,28533 Hollow Ridge Park,ST,1,20,4109354.0
ACM000000694,Forward Air Corporation,893500141115,605,5 Merchant Pass,HS,2,15,4348105.0
ACM000000696,,851869216353,516,0533 Reinke Hill,BG,5,2,2652484.0
ACM000000697,,648413838689,252,3 Texas Junction,BG,6,14,2855723.0
ACM000000698,,351454072201,11,87505 Evergreen Park,HS,3,20,2191365.0
ACM000000704,RADA Electronic Industries Ltd.,743014643349,365,0 Declaration Court,PH,1,19,410612.0
ACM000000705,"DASAN Zhone Solutions, Inc.",948125063055,153,219 Heffernan Pass,CD,1,15,2750420.0
ACM000000706,,991640557574,191,6 Derek Drive,DP,4,11,2901664.0
ACM000000707,,868041976567,443,56790 Dryden Crossing,PH,1,12,1936990.0
ACM000000708,,811576967809,154,541 West Center,CD,1,3,1422105.0
ACM000000709,,529180022544,105,41 Jana Drive,DP,5,12,1234449.0
ACM000000713,,643941890539,695,3 Gulseth Crossing,ST,1,18,4859445.0
ACM000000714,Chesapeake Lodging Trust,917488416200,534,788 Oak Circle,VL,3,18,1135064.0
ACM000000715,"Cadence Design Systems, Inc.",100070578554,157,2619 Lillian Drive,ST,1,17,3297573.0
ACM000000719,PIMCO New York Municipal Income Fund III,137755440860,233,67502 Anzinger Pass,VL,3,7,3626371.0
ACM000000720,"Medical Properties Trust, Inc.",388772472924,109,4620 Oneill Pass,RS,2,3,226252.0
ACM000000723,"PulteGroup, Inc.",827918987177,26,799 Chinook Drive,ST,1,4,3637193.0
ACM000000724,,359220755795,589,14787 Mccormick Avenue,DP,6,17,3184499.0
ACM000000726,,434916579525,196,8 Dottie Street,VL,2,20,199080.0
ACM000000727,Jensyn Acquistion Corp.,399476908273,146,3458 Bonner Hill,ST,1,14,2418843.0
ACM000000728,,117139865085,409,56 Duke Junction,RS,6,8,4202684.0
ACM000000731,Nuveen Minnesota Quality Municipal Income Fund,467275938468,332,75514 Pearson Lane,PH,1,13,377081.0
ACM000000732,,692828980144,581,3 Farragut Pass,VL,6,4,1071208.0
ACM000000733,,602112092359,329,6 Westport Lane,RS,5,11,3972005.0
ACM000000734,"Spectrum Brands Holdings, Inc.",298337125134,379,6 Stone Corner Park,PH,1,7,2293279.0
ACM000000735,"NETGEAR, Inc.",745547724658,43,7447 Hanson Alley,PH,1,2,4637515.0
ACM000000736,,212619539862,492,891 Browning Road,CD,1,11,977099.0
ACM000000737,Royal Bank Scotland plc (The),724806738823,649,2 Superior Parkway,DP,5,5,1935022.0
ACM000000739,,204821558266,564,17318 Warner Center,VL,3,7,741083.0
ACM000000741,Qwest Corporation,43606517149,652,8182 Old Shore Trail,TH,5,10,2015582.0
ACM000000742,,240878363132,195,24 Hermina Trail,ST,1,5,2649518.0
ACM000000743,"Maui Land & Pineapple Company, Inc.",206675364016,129,1 Namekagon Junction,ST,1,6,2775277.0
ACM000000745,,467777682461,657,92042 Anderson Drive,CD,1,13,374185.0
ACM000000746,,359220755795,187,41786 Mcbride Street,VL,2,9,4801616.0
ACM000000750,"Craft Brew Alliance, Inc.",893500141115,81,28152 Clemons Terrace,TH,3,5,2748416.0
ACM000000751,Morgan Stanley,770040282953,379,3 Mcguire Street,CD,1,14,2975388.0
ACM000000755,,804944601318,77,3619 Coleman Parkway,HS,6,6,4068949.0
ACM000000757,,986683954318,461,92203 Muir Center,RS,5,8,3074749.0
ACM000000759,,617216598468,531,3 Golf View Crossing,VL,2,5,357740.0
ACM000000761,"Old Line Bancshares, Inc.",648413838689,641,6325 Haas Court,VL,3,13,3379400.0
ACM000000763,WisdomTree U.S. SmallCap Quality Dividend Growth Fund,970126331166,56,9866 Bayside Alley,TH,5,13,254669.0
ACM000000764,State Street Corporation,838781646358,72,39 Merrick Way,HS,3,2,4947469.0
ACM000000765,iShares 20+ Year Treasury Bond ETF,235169557406,663,47 3rd Court,RS,5,11,1736745.0
ACM000000766,"Prudential Financial, Inc.",36759137657,415,03 Starling Junction,PH,1,8,3088793.0
ACM000000767,,640357595102,63,15684 Trailsway Hill,CD,1,12,513082.0
ACM000000768,"GenVec, Inc.",909945523385,282,686 Becker Center,RS,3,19,3691196.0
ACM000000769,,724563027734,107,3 Paget Way,HS,2,7,2141703.0
ACM000000771,,692828980144,359,3 Briar Crest Trail,HS,2,13,1102207.0
ACM000000772,,929155631250,360,5 Emmet Avenue,FS,5,12,4480119.0
ACM000000774,Petroquest Energy Inc,852018822289,142,9118 Mitchell Alley,VL,4,7,353441.0
ACM000000776,Nomad Foods Limited,712892207359,541,1 Nancy Way,PH,1,12,2945787.0
ACM000000778,,970126331166,508,4 Maple Wood Plaza,CD,1,7,388501.0
ACM000000779,Eaton Vance Tax-Advantaged Global Dividend Income Fund,453062293557,394,952 Shasta Avenue,DP,6,5,2763678.0
ACM000000781,"Community First Bancshares, Inc.",284575790417,316,0396 Nevada Place,ST,1,10,820909.0
ACM000000782,"NeuroMetrix, Inc.",721955733456,416,775 Superior Terrace,DP,2,17,3063411.0
ACM000000783,,245252140052,404,50 Forest Street,RS,6,3,2911652.0
ACM000000784,,953409667656,591,50360 Alpine Road,HS,2,8,4072401.0
ACM000000788,PIMCO Dynamic Credit and Mortgage Income Fund,840502109758,374,3286 Sunnyside Circle,BG,4,2,394704.0
ACM000000789,,893491213652,148,03930 Hollow Ridge Junction,BG,4,17,2823953.0
ACM000000790,"CareDx, Inc.",747523786389,543,32 Chinook Crossing,DP,3,10,2212412.0
ACM000000793,,601289928207,301,11 Northview Terrace,CD,1,12,890507.0
ACM000000795,,199651729402,69,93872 Jenifer Way,HS,5,3,1978752.0
ACM000000796,BlackRock New Jersey Municipal Income Trust,455724076343,381,2059 Vera Parkway,DP,6,10,3899464.0
ACM000000797,"Sandy Spring Bancorp, Inc.",312088221600,537,37578 Southridge Circle,HS,2,8,4536122.0
ACM000000798,NF Energy Saving Corporation,431748159466,344,83853 Northland Trail,DP,6,5,2381385.0
ACM000000799,MPLX LP,601289928207,59,1 Scofield Avenue,DP,5,14,1698335.0
ACM000000800,"O'Reilly Automotive, Inc.",203798766158,470,849 Marcy Circle,ST,1,16,2451348.0
ACM000000803,,82791880774,180,0 Main Lane,HS,2,2,203356.0
ACM000000804,"MasTec, Inc.",435349209500,454,6 Florence Lane,VL,2,3,2231623.0
ACM000000806,,216029233692,680,4 Oneill Hill,HS,2,19,3662333.0
ACM000000808,"InnerWorkings, Inc.",948495375444,140,4 Farwell Street,RS,6,13,3168690.0
ACM000000809,,204632193155,232,94 Duke Drive,CD,1,4,3814670.0
ACM000000810,,856273683959,596,455 North Terrace,RS,2,14,3568907.0
ACM000000811,,389069063540,363,821 Vera Plaza,DP,5,6,3702733.0
ACM000000812,,800230629402,671,25 Elmside Plaza,VL,4,8,3376801.0
ACM000000813,,131700743342,52,8250 Clemons Park,BG,6,13,292602.0
ACM000000814,"Buckle, Inc. (The)",99211552219,98,5 Larry Avenue,RS,4,9,1171077.0
ACM000000815,"Himax Technologies, Inc.",627968767512,512,75123 Grover Alley,VL,4,9,2933275.0
ACM000000817,,620339088997,358,0842 Del Sol Drive,DP,4,11,3124178.0
ACM000000818,,916816223278,680,9703 Holmberg Trail,ST,1,15,2422583.0
ACM000000819,,693797322705,439,37 Gale Center,BG,3,18,3103866.0
ACM000000820,Psychemedics Corporation,177241122489,418,1886 Morning Road,DP,4,13,3279080.0
ACM000000822,Akers Biosciences Inc,750390006637,104,8110 Holy Cross Pass,CD,1,4,2738551.0
ACM000000824,"Dorchester Minerals, L.P.",941497379789,585,5370 Buhler Road,HS,4,20,4197245.0
ACM000000825,,872100963350,230,6373 Elka Court,FS,6,19,2949611.0
ACM000000830,,617216598468,511,67 Becker Terrace,HS,4,8,2295463.0
ACM000000832,,54471860007,181,0767 5th Way,VL,6,10,1982269.0
ACM000000833,,449945889655,412,447 Mcguire Street,VL,2,4,213030.0
ACM000000834,Moog Inc.,161576123044,109,4276 Nelson Circle,RS,3,17,3713134.0
ACM000000835,,566704743642,257,78419 Crowley Avenue,HS,5,14,1799802.0
ACM000000836,,271337445089,666,410 Northview Circle,ST,1,2,3186288.0
ACM000000837,KT Corporation,37098606210,370,5187 Harper Avenue,CD,1,2,4571730.0
ACM000000839,,74980008914,513,006 Kinsman Terrace,FS,4,9,4547615.0
ACM000000841,,777816879361,94,02971 Dahle Plaza,PH,1,15,4213888.0
ACM000000842,,310289615665,536,30 Blackbird Plaza,HS,6,19,4141100.0
ACM000000843,,804499045511,586,97 Claremont Alley,VL,3,8,4779877.0
ACM000000844,,382443607209,69,13362 Redwing Drive,CD,1,19,2867086.0
ACM000000845,,242939853842,68,6644 Swallow Junction,TH,4,10,782447.0
ACM000000848,"Aberdeen Japan Equity Fund, Inc. ",994791765275,499,85656 Esch Point,CD,1,15,3972264.0
ACM000000854,Ashford Hospitality Trust Inc,241234126583,173,70846 Evergreen Circle,FS,2,5,447567.0
ACM000000855,,181858302531,137,1201 Kinsman Crossing,ST,1,12,3994114.0
ACM000000857,First Trust Municipal CEF Income Opportunity ETF,529180022544,259,402 Dayton Junction,FS,2,2,3357115.0
ACM000000859,,177241122489,398,5279 Helena Place,BG,2,17,4062385.0
ACM000000860,Gabelli Global Small and Mid Cap Value Trust (The),596492237134,142,8 Heffernan Crossing,BG,2,7,1613674.0
ACM000000861,,989528104631,639,49 Ronald Regan Plaza,FS,2,18,3494825.0
ACM000000863,PowerShares S&P SmallCap Industrials Portfolio,579179985591,473,05901 Upham Place,CD,1,7,4583412.0
ACM000000865,InfoSonics Corp,603750489997,81,890 Kedzie Pass,DP,5,7,330199.0
ACM000000867,,660666053520,228,43101 Sherman Hill,CD,1,10,3714218.0
ACM000000868,,848778730129,236,38 Maple Way,PH,1,10,4497377.0
ACM000000870,,300156163213,179,8 Cody Avenue,RS,5,3,542215.0
ACM000000871,,467777682461,126,8174 Blue Bill Park Way,TH,3,14,2320632.0
ACM000000872,Weight Watchers International Inc,665696905954,108,3601 Waywood Way,RS,4,8,1760543.0
ACM000000874,Scorpio Tankers Inc.,339780519528,562,4752 Shasta Plaza,CD,1,17,4019016.0
ACM000000876,,643783766733,79,65319 Sunnyside Terrace,BG,5,10,2036664.0
ACM000000877,,80121808109,493,482 Chive Point,PH,1,9,1118856.0
ACM000000879,,469852394981,544,19 Delladonna Road,RS,3,11,3953076.0
ACM000000880,,804944601318,149,1 Red Cloud Lane,RS,3,10,4324107.0
ACM000000881,National General Holdings Corp,716794025890,496,2 Fallview Center,TH,2,16,1716938.0
ACM000000882,"Quality Care Properties, Inc.",876278889165,336,337 Grover Plaza,CD,1,20,4340141.0
ACM000000884,,909945523385,565,09 Lotheville Alley,VL,3,15,3973051.0
ACM000000886,,127877677541,695,45 Fallview Point,VL,6,19,623994.0
ACM000000890,,993600267748,41,804 Bellgrove Drive,FS,5,3,4010310.0
ACM000000893,,418799120335,526,5821 Emmet Plaza,PH,1,15,2667543.0
ACM000000894,,662809193554,451,0 Pearson Plaza,BG,6,16,159890.0
ACM000000896,,754070797029,414,99347 Moland Street,VL,3,20,3674086.0
ACM000000897,The Charles Schwab Corporation,655957430115,401,23102 Menomonie Junction,CD,1,9,2545959.0
ACM000000898,CF Corporation,289276262197,151,3467 Logan Alley,PH,1,17,3834407.0
ACM000000901,Vanguard Long-Term Government Bond ETF,93746599561,554,856 Forest Run Parkway,DP,4,18,1924668.0
ACM000000902,,760535390822,504,5025 Continental Way,FS,3,18,150330.0
ACM000000903,,759131901132,483,979 Steensland Place,DP,2,18,902163.0
ACM000000908,"Snyder's-Lance, Inc.",690339623084,165,0 Novick Drive,CD,1,8,2371040.0
ACM000000910,Ryanair Holdings plc,692395547940,180,7 Old Shore Road,ST,1,18,2408931.0
ACM000000911,TransCanada Corporation,172899871472,380,8 Fremont Alley,CD,1,8,1603531.0
ACM000000912,Vornado Realty Trust,765519043036,372,4851 Morningstar Terrace,HS,5,13,2649462.0
ACM000000914,ClearBridge All Cap Growth ETF,724563027734,589,8883 Bayside Hill,DP,3,3,4093447.0
ACM000000915,Bank of the Ozarks,428690549976,27,9 Monica Drive,CD,1,8,1979173.0
ACM000000916,,263154374313,266,187 Mandrake Crossing,RS,4,10,4573674.0
ACM000000917,"Mettler-Toledo International, Inc.",364340037804,546,34 Delladonna Plaza,RS,5,5,1675118.0
ACM000000918,"Hercules Capital, Inc.",796390528556,256,202 Tennyson Avenue,FS,2,9,638098.0
ACM000000919,,54471860007,315,86533 Heffernan Crossing,VL,6,17,2936987.0
ACM000000920,Belmond Ltd.,293136334861,238,1 Bellgrove Terrace,RS,5,14,2957506.0
ACM000000921,Unifirst Corporation,332228260704,81,7535 Dayton Crossing,PH,1,18,4708101.0
ACM000000923,,172273639500,486,823 Walton Crossing,FS,5,10,2153587.0
ACM000000924,,435279241488,519,104 Springs Place,HS,4,4,4606364.0
ACM000000925,Federal Agricultural Mortgage Corporation,381995153519,342,22 East Place,HS,4,6,3560742.0
ACM000000927,"Miragen Therapeutics, Inc.",773734046140,302,82 Utah Circle,TH,5,13,1901841.0
ACM000000928,"Urban One, Inc. ",289276262197,644,028 School Crossing,FS,6,16,4853545.0
ACM000000929,Citigroup Inc.,695103031147,334,32 Merry Way,BG,6,13,1124633.0
ACM000000931,Brixmor Property Group Inc.,737645629,78,0841 Waubesa Park,RS,4,18,677540.0
ACM000000933,"OpGen, Inc.",877207064106,455,3036 Welch Junction,BG,2,5,3723198.0
ACM000000934,,692395547940,619,604 Monica Way,HS,6,6,1727031.0
ACM000000935,"NII Holdings, Inc.",740356075827,650,81710 Kenwood Plaza,DP,5,2,3145408.0
ACM000000939,"1347 Property Insurance Holdings, Inc.",480763474013,348,1 Stuart Trail,TH,2,12,2833225.0
ACM000000940,,845983406259,464,8983 Continental Center,PH,1,7,1789721.0
ACM000000941,,438749468006,447,9568 Northport Avenue,BG,5,8,4473650.0
ACM000000942,,927077812693,394,40 Pearson Crossing,VL,2,14,3831023.0
ACM000000943,,389069063540,142,680 Kensington Parkway,DP,4,14,4480814.0
ACM000000944,,438749468006,667,54631 Loeprich Circle,TH,5,13,964199.0
ACM000000946,,775184776002,583,926 Westport Lane,CD,1,13,4957250.0
ACM000000949,,621816645014,164,7 Claremont Crossing,TH,6,13,731114.0
ACM000000950,,990425584658,447,893 Center Street,VL,5,7,4842044.0
ACM000000951,,476634065832,633,8379 Magdeline Circle,FS,2,4,2106616.0
ACM000000952,NASDAQ TEST STOCK,701061236429,527,315 Comanche Junction,TH,4,5,1403661.0
ACM000000953,,643941890539,345,167 Scoville Point,ST,1,11,2598431.0
ACM000000954,,627381358441,269,64 Pine View Way,HS,2,14,774400.0
ACM000000955,,138859261075,264,2920 Arizona Avenue,PH,1,20,2788123.0
ACM000000956,,364132480464,238,39 Hooker Terrace,HS,5,18,4553681.0
ACM000000959,"ILG, Inc",694335562702,291,8404 Havey Drive,DP,4,9,3669070.0
ACM000000960,,435349209500,353,85616 Carpenter Alley,BG,2,9,4834428.0
ACM000000961,,851869216353,525,48946 Barby Road,DP,5,14,4786753.0
ACM000000962,Korea Electric Power Corporation,30600733024,335,33218 Myrtle Pass,PH,1,13,2779463.0
ACM000000963,,909945523385,479,6 Merrick Alley,HS,2,19,1934342.0
ACM000000964,"Plantronics, Inc.",787869996090,195,82222 Merrick Lane,DP,2,8,1460708.0
ACM000000965,,332811653345,179,402 Aberg Crossing,CD,1,14,1490076.0
ACM000000966,Central Garden & Pet Company,241234126583,123,5 Aberg Circle,DP,2,9,4241900.0
ACM000000968,,493958041053,437,9549 Declaration Court,VL,2,8,1756983.0
ACM000000969,,114529913063,401,1 Loftsgordon Alley,HS,4,8,1397455.0
ACM000000971,Nuveen Municipal Credit Income Fund,601289928207,19,96994 Riverside Trail,HS,3,20,3699514.0
ACM000000972,"Enzo Biochem, Inc.",206675364016,218,3187 Talmadge Trail,BG,4,14,3370122.0
ACM000000973,,804499045511,278,9 Portage Court,FS,3,5,2119941.0
ACM000000975,"Digital Ally, Inc.",49459026465,611,97 Vernon Avenue,CD,1,7,1611644.0
ACM000000976,,439583680413,150,055 Summit Alley,DP,5,17,3425160.0
ACM000000977,"Chipotle Mexican Grill, Inc.",517353390445,438,90453 Tennyson Center,BG,6,10,2943388.0
ACM000000979,"Intermolecular, Inc.",171589292240,272,0307 Petterle Center,TH,6,11,1867217.0
ACM000000982,Biglari Holdings Inc.,728812628777,277,48395 Arkansas Trail,CD,1,8,1003361.0
ACM000000983,W.R. Berkley Corporation,989528104631,67,6 Everett Drive,BG,3,16,830679.0
ACM000000985,Brookfield Canada Office Properties,9562349305,318,33897 Ludington Court,ST,1,2,2449008.0
ACM000000986,Frank's International N.V.,479280529685,543,74658 Stoughton Pass,FS,4,5,4767649.0
